# Current work path is /home/xhhu/tmp/web/public/work
# Action is figure5_permute_kim with parameter 8_2_200
Encode	FitModel	FitWin	Model	ScanWin	Total	fold_1	fold_2	fold_3	fold_4	fold_5	
PARS	MixPoiLin	2	learn_domain_forest.R	190	0.672617762330463	0.705101661471589	0.672388392857143	0.652555277777778	0.706984260649678	0.669632348079085	
PARS	MixPoiLin	2	learn_domain_forest.R	200	0.676677883083433	0.659389965995478	0.674987865199704	0.697789763939446	0.676115096166839	0.683034568006027	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	10	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	20	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	30	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	40	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	50	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	60	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	70	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	80	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	90	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	100	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	110	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	120	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	130	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	140	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	150	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	160	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	170	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	180	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	190	0.5	0.5	0.5	0.5	0.5	0.5	
SeqRatio	MixPoiLin	2	learn_domain_forest.R	200	0.5	0.5	0.5	0.5	0.5	0.5	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	10	0.719292430696808	0.701909590740593	0.725308166544923	0.72166955717424	0.700988928117543	0.742582996740363	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	20	0.770126112952127	0.787553220169133	0.764261338255402	0.765139355273847	0.755108431678219	0.778064325927505	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	30	0.805928071672009	0.797161078220757	0.801775728833008	0.846002940951474	0.777414016272189	0.828827889285777	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	40	0.828679773445117	0.817009732805894	0.84105534844963	0.826569177602197	0.818837153979239	0.844042576694862	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	50	0.84326897673897	0.852554363905326	0.823560988400404	0.845844555854595	0.860465387426414	0.836335580180308	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	60	0.854675226185398	0.830108036597387	0.866248398857962	0.877859426832188	0.843352545321673	0.861952795933188	
SeqBinary-ProbVS	MixPoiLin	2	learn_domain_forest.R	70	0.852738126525481	0.82353440311662	0.873217117221642	0.847671828022603	0.847156007125158	0.872707102567159	
